path,metalness,emissive,roughness,subsurface
textures\blocks\crimson_roots.png,0,0,255,255
textures\blocks\crimson_roots_pot.png,0,0,255,255
textures\blocks\crying_obsidian.png,0,0,255,255
textures\blocks\cut_copper.png,0,0,255,255
textures\blocks\danger_pottery_pattern.png,0,0,255,255
textures\blocks\dark_oak_trapdoor.png,0,0,255,255
textures\blocks\daylight_detector_inverted_top.png,0,0,255,255
textures\blocks\daylight_detector_side.png,0,0,255,255
textures\blocks\daylight_detector_top.png,0,0,255,255
textures\blocks\deadbush.png,0,0,255,255
textures\blocks\decorated_pot_base.png,0,0,255,255
textures\blocks\decorated_pot_side.png,0,0,255,255
textures\blocks\deepslate\chiseled_deepslate.png,0,0,255,255
textures\blocks\deepslate\cobbled_deepslate.png,0,0,255,255
textures\blocks\deepslate\cracked_deepslate_bricks.png,0,0,255,255
textures\blocks\deepslate\cracked_deepslate_tiles.png,0,0,255,255
textures\blocks\deepslate\deepslate.png,0,0,255,255
textures\blocks\deepslate\deepslate_bricks.png,0,0,255,255
textures\blocks\deepslate\deepslate_coal_ore.png,0,0,255,255
textures\blocks\deepslate\deepslate_copper_ore.png,0,0,255,255
textures\blocks\deepslate\deepslate_diamond_ore.png,0,0,255,255
textures\blocks\deepslate\deepslate_emerald_ore.png,0,0,255,255
textures\blocks\deepslate\deepslate_gold_ore.png,0,0,255,255
textures\blocks\deepslate\deepslate_iron_ore.png,0,0,255,255
textures\blocks\deepslate\deepslate_lapis_ore.png,0,0,255,255
textures\blocks\deepslate\deepslate_redstone_ore.png,0,0,255,255
textures\blocks\deepslate\deepslate_tiles.png,0,0,255,255
textures\blocks\deepslate\deepslate_top.png,0,0,255,255
textures\blocks\deepslate\polished_deepslate.png,0,0,255,255
textures\blocks\diamond_block.png,0,0,255,255
textures\blocks\diamond_ore.png,0,0,255,255
textures\blocks\dirt.png,0,0,255,255
textures\blocks\dirt_podzol_side.png,0,0,255,255
textures\blocks\dirt_podzol_top.png,0,0,255,255
textures\blocks\dirt_with_roots.png,0,0,255,255
textures\blocks\dispenser_front_horizontal.png,0,0,255,255
textures\blocks\dispenser_front_vertical.png,0,0,255,255
textures\blocks\door_acacia_lower.png,0,0,255,255
textures\blocks\door_acacia_upper.png,0,0,255,255
textures\blocks\door_birch_lower.png,0,0,255,255
textures\blocks\door_birch_upper.png,0,0,255,255
textures\blocks\door_dark_oak_lower.png,0,0,255,255
textures\blocks\door_dark_oak_upper.png,0,0,255,255
textures\blocks\door_iron_lower.png,0,0,255,255
textures\blocks\door_iron_upper.png,0,0,255,255
textures\blocks\door_jungle_lower.png,0,0,255,255
textures\blocks\door_jungle_upper.png,0,0,255,255
textures\blocks\door_spruce_lower.png,0,0,255,255
textures\blocks\door_spruce_upper.png,0,0,255,255
textures\blocks\door_wood_lower.png,0,0,255,255
textures\blocks\door_wood_upper.png,0,0,255,255
textures\blocks\double_plant_fern_bottom.png,0,0,255,255
textures\blocks\double_plant_fern_bottom.tga,0,0,255,255
textures\blocks\double_plant_fern_carried.png,0,0,255,255
textures\blocks\double_plant_fern_top.png,0,0,255,255
textures\blocks\double_plant_fern_top.tga,0,0,255,255
textures\blocks\double_plant_grass_bottom.png,0,0,255,255
textures\blocks\double_plant_grass_bottom.tga,0,0,255,255
textures\blocks\double_plant_grass_carried.png,0,0,255,255
textures\blocks\double_plant_grass_top.png,0,0,255,255
textures\blocks\double_plant_grass_top.tga,0,0,255,255
textures\blocks\double_plant_paeonia_bottom.png,0,0,255,255
textures\blocks\double_plant_paeonia_top.png,0,0,255,255
textures\blocks\double_plant_rose_bottom.png,0,0,255,255
textures\blocks\double_plant_rose_top.png,0,0,255,255
textures\blocks\double_plant_sunflower_back.png,0,0,255,255
textures\blocks\double_plant_sunflower_bottom.png,0,0,255,255
textures\blocks\double_plant_sunflower_front.png,0,0,255,255
textures\blocks\double_plant_sunflower_top.png,0,0,255,255
textures\blocks\double_plant_syringa_bottom.png,0,0,255,255
textures\blocks\double_plant_syringa_bottom.tga,0,0,255,255
textures\blocks\double_plant_syringa_top.png,0,0,255,255
textures\blocks\double_plant_syringa_top.tga,0,0,255,255
textures\blocks\dragon_egg.png,0,0,255,255
textures\blocks\dried_kelp_side_a.png,0,0,255,255
textures\blocks\dried_kelp_side_b.png,0,0,255,255
textures\blocks\dried_kelp_top.png,0,0,255,255
textures\blocks\dripstone_block.png,0,0,255,255
textures\blocks\dropper_front_horizontal.png,0,0,255,255
textures\blocks\dropper_front_vertical.png,0,0,255,255
textures\blocks\emerald_block.png,0,0,255,255
textures\blocks\emerald_ore.png,0,0,255,255
textures\blocks\enchanting_table_bottom.png,0,0,255,255
textures\blocks\enchanting_table_side.png,0,0,255,255
textures\blocks\enchanting_table_top.png,0,0,255,255
textures\blocks\end_bricks.png,0,0,255,255
textures\blocks\end_gateway.png,0,0,255,255
textures\blocks\end_portal.png,0,0,255,255
textures\blocks\end_rod.png,0,0,255,255
textures\blocks\end_stone.png,0,0,255,255
textures\blocks\ender_chest_front.png,0,0,255,255
textures\blocks\ender_chest_side.png,0,0,255,255
textures\blocks\ender_chest_top.png,0,0,255,255
textures\blocks\endframe_eye.png,0,0,255,255
textures\blocks\endframe_side.png,0,0,255,255
textures\blocks\endframe_top.png,0,0,255,255
textures\blocks\explorer_pottery_pattern.png,0,0,255,255
textures\blocks\exposed_chiseled_copper.png,0,0,255,255
textures\blocks\exposed_copper.png,0,0,255,255
textures\blocks\exposed_copper_bulb.png,0,0,255,255
textures\blocks\exposed_copper_bulb_lit.png,0,0,255,255
textures\blocks\exposed_copper_bulb_lit_powered.png,0,0,255,255
textures\blocks\exposed_copper_bulb_powered.png,0,0,255,255
textures\blocks\exposed_copper_door_bottom.png,0,0,255,255
textures\blocks\exposed_copper_door_top.png,0,0,255,255
textures\blocks\exposed_copper_grate.png,0,0,255,255
textures\blocks\exposed_copper_trapdoor.png,0,0,255,255
textures\blocks\exposed_cut_copper.png,0,0,255,255
textures\blocks\farmland_dry.png,0,0,255,255
textures\blocks\farmland_wet.png,0,0,255,255
textures\blocks\fern.png,0,0,255,255
textures\blocks\fern.tga,0,0,255,255
textures\blocks\fern_carried.png,0,0,255,255
textures\blocks\fern_carried.tga,0,0,255,255
textures\blocks\fire_0.png,0,0,255,255
textures\blocks\fire_0_placeholder.png,0,0,255,255
textures\blocks\fire_1.png,0,0,255,255
textures\blocks\fire_1_placeholder.png,0,0,255,255
textures\blocks\fletcher_table_side1.png,0,0,255,255
textures\blocks\fletcher_table_side2.png,0,0,255,255
textures\blocks\fletcher_table_top.png,0,0,255,255
textures\blocks\flow_pottery_pattern.png,0,0,255,255
textures\blocks\flower_allium.png,0,0,255,255
textures\blocks\flower_blue_orchid.png,0,0,255,255
textures\blocks\flower_cornflower.png,0,0,255,255
textures\blocks\flower_dandelion.png,0,0,255,255
textures\blocks\flower_houstonia.png,0,0,255,255
textures\blocks\flower_lily_of_the_valley.png,0,0,255,255
textures\blocks\flower_oxeye_daisy.png,0,0,255,255
textures\blocks\flower_paeonia.png,0,0,255,255
textures\blocks\flower_pot.png,0,0,255,255
textures\blocks\flower_rose.png,0,0,255,255
textures\blocks\flower_rose_blue.png,0,0,255,255
textures\blocks\flower_tulip_orange.png,0,0,255,255
textures\blocks\flower_tulip_pink.png,0,0,255,255
textures\blocks\flower_tulip_red.png,0,0,255,255
textures\blocks\flower_tulip_white.png,0,0,255,255
textures\blocks\flower_wither_rose.png,0,0,255,255
textures\blocks\flowering_azalea_side.png,0,0,255,255
textures\blocks\flowering_azalea_top.png,0,0,255,255
textures\blocks\friend_pottery_pattern.png,0,0,255,255
textures\blocks\frogspawn.png,0,0,255,255
textures\blocks\frosted_ice_0.png,0,0,255,255
textures\blocks\frosted_ice_1.png,0,0,255,255
textures\blocks\frosted_ice_2.png,0,0,255,255
textures\blocks\frosted_ice_3.png,0,0,255,255
textures\blocks\furnace_front_off.png,0,0,255,255
textures\blocks\furnace_front_on.png,0,0,255,255
textures\blocks\furnace_side.png,0,0,255,255
textures\blocks\furnace_top.png,0,0,255,255
textures\blocks\gilded_blackstone.png,0,0,255,255
textures\blocks\glass.png,0,0,255,255
textures\blocks\glass_black.png,0,0,255,255
textures\blocks\glass_blue.png,0,0,255,255
textures\blocks\glass_brown.png,0,0,255,255
textures\blocks\glass_cyan.png,0,0,255,255
textures\blocks\glass_gray.png,0,0,255,255
textures\blocks\glass_green.png,0,0,255,255
textures\blocks\glass_light_blue.png,0,0,255,255
textures\blocks\glass_lime.png,0,0,255,255
textures\blocks\glass_magenta.png,0,0,255,255
textures\blocks\glass_orange.png,0,0,255,255
textures\blocks\glass_pane_top.png,0,0,255,255
textures\blocks\glass_pane_top_black.png,0,0,255,255
textures\blocks\glass_pane_top_blue.png,0,0,255,255
textures\blocks\glass_pane_top_brown.png,0,0,255,255
textures\blocks\glass_pane_top_cyan.png,0,0,255,255
textures\blocks\glass_pane_top_gray.png,0,0,255,255
textures\blocks\glass_pane_top_green.png,0,0,255,255
textures\blocks\glass_pane_top_light_blue.png,0,0,255,255
textures\blocks\glass_pane_top_lime.png,0,0,255,255
textures\blocks\glass_pane_top_magenta.png,0,0,255,255
textures\blocks\glass_pane_top_orange.png,0,0,255,255
textures\blocks\glass_pane_top_pink.png,0,0,255,255
textures\blocks\glass_pane_top_purple.png,0,0,255,255
textures\blocks\glass_pane_top_red.png,0,0,255,255
textures\blocks\glass_pane_top_silver.png,0,0,255,255
textures\blocks\glass_pane_top_white.png,0,0,255,255
textures\blocks\glass_pane_top_yellow.png,0,0,255,255
textures\blocks\glass_pink.png,0,0,255,255
textures\blocks\glass_purple.png,0,0,255,255
textures\blocks\glass_red.png,0,0,255,255
textures\blocks\glass_silver.png,0,0,255,255
textures\blocks\glass_white.png,0,0,255,255
textures\blocks\glass_yellow.png,0,0,255,255
textures\blocks\glazed_terracotta_black.png,0,0,255,255
textures\blocks\glazed_terracotta_blue.png,0,0,255,255
textures\blocks\glazed_terracotta_brown.png,0,0,255,255
textures\blocks\glazed_terracotta_cyan.png,0,0,255,255
